"","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene_symbol"
"ENSG00000000003",-1.19887799787351,1.7434190823472,-3.49303806067055,0.000694689622547263,0.0129355218300432,-0.550929653224359,"TSPAN6"
"ENSG00000000419",-0.336867134026102,4.06887287751722,-1.05832866956601,0.292280294046221,0.50529922856402,-5.62502599825726,"DPM1"
"ENSG00000000457",0.253703280760003,2.02972626650802,1.10334566148536,0.272343306745982,0.48534284279649,-5.46201497038177,"SCYL3"
"ENSG00000000460",0.326828113950286,1.06156978241421,1.35885958073098,0.177038183021388,0.380912855683805,-5.17367781803976,"C1orf112"
"ENSG00000000938",0.546203515862556,8.68264446804058,2.63194387503842,0.00973984821231183,0.0712195153928728,-3.18870066090161,"FGR"
"ENSG00000000971",-0.340831734957848,1.7537937848355,-1.149937140268,0.252724071343071,0.464810586613372,-5.41693834079839,"CFH"
"ENSG00000001036",-0.581466970959886,3.7875459883124,-2.60956431725355,0.0103588268023628,0.073883848881668,-2.95828452937897,"FUCA2"
"ENSG00000001084",-0.817376016140508,4.463431335292,-2.70759853414391,0.00788705385897434,0.0622620322267647,-2.76648774486487,"GCLC"
"ENSG00000001167",0.0253970088466684,3.78903131566141,0.0921101168377795,0.926782151834704,0.961830341032506,-6.13736625984355,"NFYA"
"ENSG00000001460",-0.347477468009273,2.07270237911056,-1.16021108928699,0.248535615648429,0.461057546727937,-5.4043824166676,"STPG1"
"ENSG00000001461",-0.203598580151756,2.34757816114707,-0.790273775529433,0.43110948536032,0.632157836733251,-5.75211373810864,"NIPAL3"
"ENSG00000001497",-0.577448695610029,1.16932988988926,-2.28438142401996,0.0243152761414418,0.120044227201132,-3.6203565545367,"LAS1L"
"ENSG00000001561",-1.56194526133291,2.61074972027579,-4.53698975742669,1.49335495991665e-05,0.00104415667511462,2.89157181685163,"ENPP4"
"ENSG00000001617",-0.114019103773487,1.58390217169664,-0.362986593994316,0.717328354447808,0.84108844638867,-5.98319536654228,"SEMA3F"
"ENSG00000001626",0.531934843205875,4.31073524473658,1.1332365918857,0.259638475478587,0.472645784241341,-5.59819800539833,"CFTR"
"ENSG00000001629",0.00882103234774694,4.46579072304687,0.0369551204704521,0.970589395558143,0.984986554387544,-6.20728461060708,"ANKIB1"
"ENSG00000001630",-1.01524205459678,3.1034899015083,-3.25841723656845,0.00150049302664617,0.0220918593564492,-1.24459424019583,"CYP51A1"
"ENSG00000001631",0.382493283123968,3.39086948437827,1.32391486671297,0.188342393140869,0.3946677320831,-5.28319146211965,"KRIT1"
"ENSG00000002016",0.174651246128411,1.6139404672638,0.592204041965543,0.554958733266305,0.728996843849694,-5.87551143039218,"RAD52"
"ENSG00000002330",-0.480771095349466,3.25351787611536,-1.34974295671821,0.179936682546687,0.38435221040166,-5.24023664334708,"BAD"
"ENSG00000002549",-0.267346743601585,5.40350533523431,-0.840707313881196,0.402379845462373,0.607153796667828,-5.95241484019178,"LAP3"
"ENSG00000002586",-1.06987184221969,6.15411427873366,-5.10166436343917,1.4609226144551e-06,0.000251567663390235,5.01975944105748,"CD99"
"ENSG00000002587",-1.51017765734233,2.49603488956634,-4.68945761029082,8.0972997638519e-06,0.000725055355997482,3.44660451744072,"HS3ST1"
"ENSG00000002746",0.427829223417069,1.05485401141593,0.988374960413703,0.325190669051468,0.537658084997098,-5.58465288739579,"HECW1"
"ENSG00000002822",-0.0222478538782722,4.06948142015075,-0.0621824682409096,0.950533106354386,0.974283998990923,-6.16682325367144,"MAD1L1"
"ENSG00000002834",-0.258682524232327,6.541118515552,-1.78116012077149,0.0777133231946223,0.238195437640241,-4.85230915400517,"LASP1"
"ENSG00000002919",-0.136860138273425,4.36165891724546,-0.519190331946092,0.604696348075108,0.764900853595168,-6.06710258480905,"SNX11"
"ENSG00000002933",0.121555614307236,4.2503453842171,0.354193486779304,0.723888369277774,0.844940837734281,-6.12740588456169,"TMEM176A"
